,Breakdown,Ticker,Company,Total Revenue,Operating Revenue,Cost of Revenue,Gross Profit,Operating Expense,Selling General and Administrative,General & Administrative Expense,Other G and A,Selling & Marketing Expense,Research & Development,Other Operating Expenses,Operating Income,Net Non Operating Interest Income Expense,Interest Income Non Operating,Interest Expense Non Operating,Other Income Expense,Gain on Sale of Security,Other Non Operating Income Expenses,Pretax Income,Tax Provision,Earnings from Equity Interest Net of Tax,Net Income Common Stockholders,Net Income,Net Income Including Non-Controlling Interests,Net Income Continuous Operations,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,Total Operating Income as Reported,Total Expenses,Net Income from Continuing & Discontinued Operation,Normalized Income,Interest Income,Interest Expense,Net Interest Income,EBIT,EBITDA,Reconciled Cost of Revenue,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Normalized EBITDA,Tax Rate for Calcs,Tax Effect of Unusual Items,Total Other Finance Cost,Earnings from Equity Interest,Special Income Charges,Other Special Charges,Net Income Discontinuous Operations,Otherunder Preferred Stock Dividend,Average Dilution Earnings,Depreciation Amortization Depletion,Depreciation & amortization,Gain on Sale of Business,Minority Interests,Amortization,Amortization of Intangibles,Restructuring & Mergers Acquisition,Impairment of Capital Assets,Preferred Stock Dividends,Write Off
1,TTM,AMZN,"Amazon.com, Inc.","296,274,000","296,274,000","219,035,000","77,239,000","63,129,000","25,524,000","5,482,000","5,482,000","20,042,000","37,329,000","276,000","14,110,000","-785,000","851,000","1,636,000","-367,000","-367,000","-367,000","12,958,000","2,282,000","-114,000","10,562,000","10,562,000","10,562,000","10,562,000","10,562,000",,,,,"14,110,000","282,164,000","10,562,000","10,562,000","851,000","1,636,000","-785,000","14,594,000","36,891,000","219,035,000","22,297,000","10,562,000","-367,000","-367,000","36,891,000",0,0,,,,,,,,,,,,,,,,,
2,12/31/2019,AMZN,"Amazon.com, Inc.","280,522,000","280,522,000","205,768,000","74,754,000","60,213,000","24,081,000","5,203,000","5,203,000","18,878,000","35,931,000","201,000","14,541,000","-768,000","832,000","1,600,000","203,000","203,000","203,000","13,976,000","2,374,000","-14,000","11,588,000","11,588,000","11,588,000","11,588,000","11,588,000",0.0235,0.023,"494,000","504,000","14,541,000","265,981,000","11,588,000","11,588,000","832,000","1,600,000","-768,000","15,576,000",,"205,768,000","21,789,000","11,588,000","203,000","203,000","37,365,000",0,0,,,,,,,,,,,,,,,,,
3,12/31/2018,AMZN,"Amazon.com, Inc.","232,887,000","232,887,000","173,183,000","59,704,000","47,283,000","18,150,000","4,336,000","4,336,000","13,814,000","28,837,000","296,000","12,421,000","-977,000","440,000","1,417,000","-183,000","-183,000","-183,000","11,261,000","1,197,000","9,000","10,073,000","10,073,000","10,073,000","10,073,000","10,073,000",0.0207,0.0201,"487,000","500,000","12,421,000","220,466,000","10,073,000","10,073,000","440,000","1,417,000","-977,000","12,678,000",,"173,183,000","15,341,000","10,073,000","-183,000","-183,000","28,019,000",0,0,,,,,,,,,,,,,,,,,
4,12/31/2017,AMZN,"Amazon.com, Inc.","177,866,000","177,866,000","137,183,000","40,683,000","36,577,000","13,743,000","3,674,000","3,674,000","10,069,000","22,620,000","214,000","4,106,000","-646,000","202,000","848,000","346,000","346,000","346,000","3,806,000","769,000","-4,000","3,033,000","3,033,000","3,033,000","3,033,000","3,033,000",0.0063,0.0062,"480,000","493,000","4,106,000","173,760,000","3,033,000","3,033,000","202,000","848,000","-646,000","4,654,000",,"137,183,000","11,478,000","3,033,000","346,000","346,000","16,132,000",0,0,,,,,,,,,,,,,,,,,
5,12/31/2016,AMZN,"Amazon.com, Inc.","135,987,000","135,987,000","105,884,000","30,103,000","25,917,000","9,665,000","2,432,000","2,432,000","7,233,000","16,085,000","167,000","4,186,000","-384,000","100,000","484,000","90,000","90,000","90,000","3,892,000","1,425,000","-96,000","2,371,000","2,371,000","2,371,000","2,371,000","2,371,000",0.005,0.0049,"474,000","484,000","4,186,000","131,801,000","2,371,000","2,371,000","100,000","484,000","-384,000","4,376,000",,"105,884,000","8,116,000","2,371,000","90,000","90,000","12,492,000",0,0,,,,,,,,,,,,,,,,,
1,TTM,GOOG,Alphabet Inc.,"166,677,000","165,686,000","74,866,000","91,811,000","56,211,000","29,402,000","10,343,000","10,343,000","19,059,000","26,809,000",,"35,600,000","2,405,000","2,491,000","86,000","1,231,000","863,000","-136,000","39,236,000","4,714,000",,"34,522,000","34,522,000","34,522,000","34,522,000","34,522,000",,,,,"35,600,000","131,077,000","34,522,000","33,762,685","2,491,000","86,000","2,405,000","39,322,000","51,598,000","74,866,000","12,276,000","34,522,000","863,000","863,000","50,735,000",0,"103,685",,"504,000",0,,,,,,,,,,,,,,
2,12/31/2019,GOOG,Alphabet Inc.,"161,857,000","160,743,000","71,896,000","89,961,000","54,033,000","28,015,000","9,551,000","9,551,000","18,464,000","26,018,000",,"35,928,000","2,327,000","2,427,000","100,000","1,370,000","2,901,000","-224,000","39,625,000","5,282,000",,"34,343,000","34,343,000","34,343,000","34,343,000","34,343,000",0.0496,0.0492,"692,596","698,556","34,231,000","125,929,000","34,343,000","33,299,132","2,427,000","100,000","2,327,000","39,725,000",,"71,896,000","11,781,000","34,343,000","1,204,000","1,204,000","50,302,000",0,"160,132","-5,394,000","390,000","-1,697,000","1,697,000",,,,,,,,,,,,,
3,12/31/2018,GOOG,Alphabet Inc.,"136,819,000","136,224,000","59,549,000","77,270,000","45,878,000","24,459,000","8,126,000","8,126,000","16,333,000","21,419,000",,"31,392,000","1,764,000","1,878,000","114,000","1,757,000","6,570,000","378,000","34,913,000","4,177,000",,"30,736,000","30,736,000","30,736,000","30,736,000","30,736,000",0.0442,0.0437,"695,070","703,341","26,321,000","105,427,000","30,736,000","29,416,880","1,878,000","114,000","1,764,000","35,027,000",,"59,549,000","9,035,000","30,736,000","1,499,000","1,499,000","42,563,000",0,"179,880","-8,592,000","-120,000","-5,071,000","5,071,000",,,,,,,,,,,,,
4,12/31/2017,GOOG,Alphabet Inc.,"110,855,000","95,375,000","45,583,000","65,272,000","36,390,000","19,765,000","6,872,000","6,872,000","12,893,000","16,625,000",,"28,882,000","1,203,000","1,312,000","109,000","-2,892,000","-315,000","159,000","27,193,000","14,531,000",,"12,662,000","12,662,000","12,662,000","12,662,000","12,662,000",0.0183,0.018,"693,049","703,444","26,146,000","81,973,000","12,662,000","14,492,600","1,312,000","109,000","1,203,000","27,302,000",,"45,583,000","6,915,000","12,662,000","-3,051,000","-3,051,000","37,268,000",0,"-1,220,400","-1,047,000",,"-2,736,000","2,736,000",,0,,,,,,,,,,,
5,12/31/2016,GOOG,Alphabet Inc.,"90,272,000","79,383,000","35,138,000","55,134,000","31,418,000","17,470,000","6,985,000","6,985,000","10,485,000","13,948,000",,"23,716,000","1,096,000","1,220,000","124,000","-662,000","-750,000","88,000","24,150,000","4,672,000",,"19,478,000","19,478,000","19,478,000","19,478,000","19,478,000",0.0283,0.0279,"687,782","699,390","23,716,000","66,556,000","19,478,000","20,083,250","1,220,000","124,000","1,096,000","24,274,000",,"35,138,000","6,144,000","19,478,000","-750,000","-750,000","31,168,000",0,"-144,750","-434,000",,,,0,0,,,,,,,,,,,
1,TTM,FB,"Facebook, Inc.","73,357,000","72,183,000","13,413,000","59,944,000","33,382,000","18,627,000","7,984,000","7,984,000","10,643,000","14,755,000",,"26,562,000","934,000","954,000",,"-305,000",,"-200,000","27,191,000","6,233,000",,"20,958,000","20,958,000","20,958,000","20,958,000","20,958,000",,,,,"26,562,000","46,795,000","20,958,000","20,958,000","954,000",,"934,000","27,408,000","33,391,000","13,413,000","5,983,000","20,958,000",,,"33,391,000",0,0,,,,,,,,,,,,,,,,,
2,12/31/2019,FB,"Facebook, Inc.","70,697,000","69,655,000","12,770,000","57,927,000","33,941,000","20,341,000","10,465,000","10,465,000","9,876,000","13,600,000",,"23,986,000","904,000","924,000","20,000","-78,000","-105,000","27,000","24,812,000","6,327,000",,"18,485,000","18,485,000","18,485,000","18,485,000","18,485,000",0.0065,0.0064,"2,854,000","2,876,000","23,986,000","46,711,000","18,485,000","18,563,225","924,000","20,000","904,000","24,832,000",,"12,770,000","5,741,000","18,485,000","-105,000","-105,000","30,678,000",0,"-26,775","-826,000",,,,,0,0,,,,,,,,,,
3,12/31/2018,FB,"Facebook, Inc.","55,838,000","55,013,000","9,355,000","46,483,000","21,570,000","11,297,000","3,451,000","3,451,000","7,846,000","10,273,000",,"24,913,000","652,000","661,000","9,000","-204,000","-213,000","9,000","25,361,000","3,249,000",,"22,111,000","22,112,000","22,112,000","22,112,000","22,112,000",0.0077,0.0076,"2,890,000","2,921,000","24,913,000","30,925,000","22,112,000","22,297,310","661,000","9,000","652,000","25,370,000",,"9,355,000","4,315,000","22,112,000","-213,000","-213,000","29,898,000",0,"-27,690","-448,000",,,,,"1,000","1,000",,,,,,,,,,
4,12/31/2017,FB,"Facebook, Inc.","40,653,000","39,942,000","5,454,000","35,199,000","14,996,000","7,242,000","2,517,000","2,517,000","4,725,000","7,754,000",,"20,203,000","392,000","398,000","6,000","-1,000","-6,000","5,000","20,594,000","4,660,000",,"15,920,000","15,934,000","15,934,000","15,934,000","15,934,000",0.0055,0.0054,"2,901,000","2,956,000","20,203,000","20,450,000","15,934,000","15,938,620","398,000","6,000","392,000","20,600,000",,"5,454,000","3,025,000","15,934,000","-6,000","-6,000","23,631,000",0,"-1,380","-391,000",,,,,"14,000","14,000",,,,,,,,,,
5,12/31/2016,FB,"Facebook, Inc.","27,638,000","26,885,000","3,789,000","23,849,000","11,422,000","5,503,000","1,731,000","1,731,000","3,772,000","5,919,000",,"12,427,000","166,000","176,000","10,000","-75,000","-76,000","1,000","12,518,000","2,301,000",,"10,188,000","10,217,000","10,217,000","10,217,000","10,217,000",0.0036,0.0035,"2,863,000","2,925,000","12,427,000","15,211,000","10,217,000","10,279,320","176,000","10,000","166,000","12,528,000",,"3,789,000","2,342,000","10,217,000","-76,000","-76,000","14,946,000",0,"-13,680","-91,000",,,,,"29,000","29,000",,,,,,,,,,
1,TTM,NFLX,"Netflix, Inc.","21,403,146","21,403,146","13,169,300","8,233,846","5,130,420","3,504,218","964,504","964,504","2,539,714","1,626,202",,"3,103,426","-644,984","29,593","674,577",,,,"2,458,442","226,511",,"2,231,931","2,231,931","2,231,931","2,231,931","2,231,931",,,,,"3,103,426","18,299,720","2,231,931","2,231,931","29,593","674,577","-644,984","3,133,019","12,816,500","13,169,300","9,683,481","2,231,931",,,"12,816,500",0,0,,,,,,,,,,,,,,,,,
2,12/31/2019,NFLX,"Netflix, Inc.","20,156,447","20,156,447","12,440,213","7,716,234","5,111,980","3,566,831","914,369","914,369","2,652,462","1,545,149",,"2,604,254","-542,023","84,000","626,023",,,,"2,062,231","195,315",,"1,866,916","1,866,916","1,866,916","1,866,916","1,866,916",0.0043,0.0041,"437,799","451,765","2,604,254","17,552,193","1,866,916","1,866,916","84,000","626,023","-542,023","2,688,254",,"12,440,213","9,319,826","1,866,916",,,"12,008,080",0,0,,,,,,,,,,,,,,,,,
3,12/31/2018,NFLX,"Netflix, Inc.","15,794,341","15,794,341","9,967,538","5,826,803","4,221,577","2,999,763","630,294","630,294","2,369,469","1,221,814",,"1,605,226","-378,768","41,725","420,493",,,,"1,226,458","15,216",,"1,211,242","1,211,242","1,211,242","1,211,242","1,211,242",0.0028,0.0027,"435,374","451,244","1,605,226","14,189,115","1,211,242","1,211,242","41,725","420,493","-378,768","1,646,951",,"9,967,538","7,656,457","1,211,242",,,"9,303,408",0,0,,,,,,,,,,,,,,,,,
4,12/31/2017,NFLX,"Netflix, Inc.","11,692,713","11,692,713","7,659,666","4,033,047","3,194,368","2,141,590","863,568","863,568","1,278,022","1,052,778",,"838,679","-353,358","-115,154","353,358",,,,"485,321","-73,608",,"558,929","558,929","558,929","558,929","558,929",0.0013,0.0013,"431,885","446,814","838,679","10,854,034","558,929","558,929","-115,154","353,358","-353,358","838,679",,"7,659,666","6,330,385","558,929",,,"7,169,064",0,0,,,,,,,,,,,,,,,,,
5,12/31/2016,NFLX,"Netflix, Inc.","8,830,669","8,830,669","6,029,901","2,800,768","2,420,975","1,568,877","577,799","577,799","991,078","852,098",,"379,793","-119,286","30,828","150,114",,,,"260,507","73,829",,"186,678","186,678","186,678","186,678","186,678",0,0,"428,822","438,652","379,793","8,450,876","186,678","186,678","30,828","150,114","-119,286","410,621",,"6,029,901","4,924,978","186,678",,,"5,335,599",0,0,,,,,,,,,,,,,,,,,
1,TTM,SNAP,Snap Inc.,"1,857,586","1,857,586","945,481","912,105","1,985,736","1,079,799","596,878","596,878","482,921","905,937",,"-1,073,631","-2,536","36,815","39,351","47,751",,"47,751","-1,028,416",773,,"-1,029,189","-1,029,189","-1,029,189","-1,029,189","-1,029,189",,,,,"-1,073,631","2,931,217","-1,029,189","-1,029,189","36,815","39,351","-2,536","-989,065","-903,935","945,481","85,130","-1,029,189",,,"-903,935",0,0,,,,,,,,,,,,,,,,,
